A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Q2: Important in life: Friends,Q3: Important in life: Leisure time,Q4: Important in life: Politics,Q5: Important in life: Work,Q6: Important in life: Religion,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q20: Neighbors: People who have AIDS,Q21: Neighbors: Immigrants/foreign workers,Q22: Neighbors: Homosexuals,Q23: Neighbors: People of a different religion,Q24: Neighbors: Heavy drinkers,Q25: Neighbors: Unmarried couples living together,Q26: Neighbors: People who speak a different language,Q27: One of main goals in life has been to make my parents proud,Q29: Men make better political leaders than women do,Q30: University is more important for a boy than for a girl,Q31: Men make better business executives than women do,Q32: Being a housewife just as fulfilling,Q33: Jobs scarce: Men should have more right to a job than women,Q34: Jobs scarce: Employers should give priority to (nation) people than immigrants,Q43: Future changes: Less importance placed on work,Q44: Future changes: More emphasis on technology,Q45: Future changes: Greater respect for authority,Q58: Trust: Your family,Q59: Trust: Your neighborhood,Q60: Trust: People you know personally,Q61: Trust: People you meet for the first time,Q62: Trust: People of another religion,Q63: Trust: People of another nationality,Q64: Confidence: Churches,Q65: Confidence: Armed Forces,Q66: Confidence: The Press,Q67: Confidence: Television,Q68: Confidence: Labor Unions,Q69: Confidence: The Police,Q70: Confidence: Justice System/Courts,Q71: Confidence: The Government,Q72: Confidence: The Political Parties,Q73: Confidence: Parliament,Q74: Confidence: The Civil Services,Q77: Confidence: Major Companies,Q79: Confidence: The Environmental Protection Movement,Q80: Confidence: The Women's Movement,Q81: Confidence: Charitable or humanitarian organizations,Q83: Confidence: The United Nations (UN),Q106: Incomes should be made more equal vs There should be greater incentives for individual effort,Q107: Private vs state ownership of business,Q108: Government's vs individual's responsibility,Q109: Competition good or harmful,Q110: Success: hard work vs luck,Q111: Protecting environment vs. Economic growth,Q151: Willingness to fight for country,Q152: Aims of country: first choice,Q154: Aims of respondent: first choice,"Q158: Science and technology are making our lives healthier, easier, and more comfortable","Q159: Because of science and technology, there will be more opportunities for the next generation",Q160: We depend too much on science and not enough on faith,"Q163: The world is better off, or worse off, because of science and technology",Q177: Justifiable: Claiming government benefits to which you are not entitled,Q178: Justifiable: Avoiding a fare on public transport,Q180: Justifiable: Cheating on taxes,Q181: Justifiable: Someone accepting a bribe in the course of their duties,Q182: Justifiable: Homosexuality,Q184: Justifiable: Abortion,Q185: Justifiable: Divorce,Q187: Justifiable: Suicide,Q189: Justifiable: For a man to beat his wife,Q235: Political system: Having a strong leader who does not have to bother with parliament and elections,"Q236: Political system: Having experts, not government, make decisions according to what they think is best for the country",Q237: Political system: Having the army rule,Q238: Political system: Having a democratic political system,Q241: Democracy: Governments tax the rich and subsidize the poor,Q242: Democracy: Religious authorities interpret the laws,Q243: Democracy: People choose their leaders in free elections,Q244: Democracy: People receive state aid for unemployment,Q245: Democracy: The army takes over when government is incompetent,Q246: Democracy: Civil rights protect people’s liberty against oppression,Q249: Democracy: Women have the same rights as men,Q250: Importance of democracy,Q251: How democratically is this country being governed today,Q253: Respect for individual human rights nowadays,Q254: National pride
2018,Iraq,IQ-KI Kirkuk,Urban,Female,45-54,Arabic,Married,Lower,Working class,Rather important,Rather important,Not very important,Rather important,Very important,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Agree strongly,Disagree,Strongly disagree,Disagree,Disagree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Do not trust very much,Do not trust very much,Do not trust very much,Quite a lot,A great deal,Quite a lot,Quite a lot,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Quite a lot,Quite a lot,Not very much,Not very much,Not very much,2,2,8,7,8,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,9,8,5,8,2,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,2,Fairly good,Fairly bad,Fairly good,Very good,8,3,8,9,9,8,8,4,3,Not much respect,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Female,25-34,Arabic,Married,Higher,Lower middle class,Very important,Very important,Not very important,Very important,Very important,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust very much,Do not trust very much,Do not trust very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,5,5,5,5,5,Protecting environment,Yes,Seeing that people have more say about how  are done at their jobs and in their communities,Giving people more say in important government decisions,5,5,5,6,5,5,6,5,No answer,5,5,5,5,Very good,Very good,Very good,Very good,5,6,6,6,5,5,4,6,5,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Female,16-24,Arabic,Married,Lower,Working class,Rather important,Not very important,Not very important,Rather important,Rather important,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Agree,Agree,Agree strongly,Agree,Disagree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Do not trust very much,Trust somewhat,Trust somewhat,Quite a lot,Quite a lot,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,Quite a lot,None at all,None at all,Quite a lot,Quite a lot,Not very much,Not very much,None at all,Quite a lot,8,8,3,8,7,Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,8,8,2,8,2,2,Never justifiable,Never justifiable,No answer,Never justifiable,3,Never justifiable,Never justifiable,Fairly Bad,Very good,Very bad,Very good,8,3,8,8,3,8,8,8,4,Not much respect,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Female,25-34,Arabic,Married,Lower,Lower middle class,Very important,Very important,Very important,Very important,Very important,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust very much,Do not trust very much,Do not trust very much,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,A great deal,A great deal,A great deal,Not very much,A great deal,A great deal,A great deal,Incomes should be made more equal,Private ownership of business should be increased,9,Competition is good,8,Protecting environment,Yes,Seeing that people have more say about how  are done at their jobs and in their communities,Maintaining order in the nation,9,7,Completely disagree,9,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very good,Very bad,Very good,Very good,8,8,8,6,8,7,8,8,Not at all democratic,A great deal of respect,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,25-34,Arabic,Single,Middle,Working class,Very important,Not very important,Not at all important,Rather important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree strongly,Agree strongly,Agree,Good thing,Bad thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust at all,Do not trust at all,Do not trust at all,None at all,None at all,None at all,None at all,None at all,Quite a lot,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,9,9,People should take more responsibility to provide for themselves,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Protecting environment,Yes,Making sure this country has strong defence forces,Fighting rising prices,8,9,9,9,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Fairly Bad,Very good,Fairly bad,Fairly bad,8,3,8,9,8,4,3,8,7,Not much respect,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,25-34,Kurdish; Yezidi,Separated,No answer,Working class,Rather important,Not very important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Agree,Agree strongly,Agree,Disagree,Agree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust somewhat,Trust somewhat,Trust completely,Trust somewhat,Not very much,Quite a lot,Quite a lot,A great deal,None at all,Not very much,Quite a lot,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,4,4,3,8,6,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,6,6,8,9,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Fairly good,Fairly good,Very bad,Very bad,8,Not an essential characteristic of democracy,9,9,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,8,6,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,35-44,Turkmen,Married,Higher,Lower middle class,Not very important,Rather important,Not very important,Very important,Rather important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Agree strongly,Agree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Do not trust very much,Do not trust very much,Do not trust at all,Do not trust very much,Do not trust very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,A great deal,Quite a lot,Not very much,Not very much,Not very much,Not very much,5,5,5,5,5,Protecting environment,Yes,A high level of economic growth,Fighting rising prices,6,5,6,4,5,5,5,5,No answer,5,5,5,4,Very good,Fairly good,Fairly bad,Fairly good,5,5,5,5,5,5,5,5,5,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,35-44,Arabic,Married,Lower,Upper middle class,Very important,Rather important,Not very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust very much,Trust completely,Trust completely,Not very much,A great deal,A great deal,A great deal,None at all,A great deal,None at all,Quite a lot,None at all,None at all,None at all,Don't know,None at all,A great deal,Quite a lot,None at all,Incomes should be made more equal,Private ownership of business should be increased,People should take more responsibility to provide for themselves,7,Hard work doesn't generally bring success - it's more a matter of luck and connections,Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,Completely agree,Completely agree,Completely agree,A lot better off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very good,Very good,Very good,Fairly bad,5,5,5,6,5,5,5,6,5,Fairly much  respect,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Female,25-34,Turkmen,Married,Lower,Lower middle class,Very important,Very important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,None at all,None at all,None at all,A great deal,A great deal,A great deal,A great deal,Incomes should be made more equal,9,People should take more responsibility to provide for themselves,Competition is good,Hard work doesn't generally bring success - it's more a matter of luck and connections,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,9,8,8,A lot better off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very good,Very good,Very bad,Very good,9,8,9,9,8,8,8,8,Not at all democratic,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Female,45-54,Turkmen,Married,Lower,Lower middle class,Very important,Very important,Rather important,Very important,Very important,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Don't mind,Bad thing,Good thing,Trust completely,Trust completely,Trust completely,Trust somewhat,Trust somewhat,Trust somewhat,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,5,5,5,6,5,Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,5,5,5,5,5,6,6,5,No answer,5,5,5,5,Fairly good,Fairly good,Fairly good,Fairly good,6,5,5,6,6,6,6,6,6,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,16-24,Arabic,Single,Higher,Lower middle class,Very important,Rather important,Not very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Disagree,Disagree,Agree strongly,Disagree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust very much,Trust somewhat,Trust somewhat,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Not very much,Not very much,Not very much,Quite a lot,Not very much,None at all,None at all,A great deal,Not very much,2,2,People should take more responsibility to provide for themselves,Competition is harmful,2,Protecting environment,Yes,Trying to make our cities and countryside more beautiful,Protecting freedom of speech,Completely agree,Completely agree,Completely disagree,A lot better off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,9,Never justifiable,Never justifiable,Very good,Very good,Very good,Very good,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,Not at all important,Not at all democratic,A great deal of respect,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,25-34,Arabic,Married,Lower,Lower middle class,Very important,Very important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust very much,Do not trust very much,Do not trust at all,A great deal,Not very much,Not very much,Not very much,Not very much,Quite a lot,Not very much,None at all,Not very much,None at all,None at all,Not very much,Not very much,A great deal,Not very much,Not very much,5,5,5,5,5,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,6,5,5,5,5,5,5,5,No answer,5,5,5,5,Very good,Very good,Very good,Very good,6,5,5,5,5,5,5,5,5,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,35-44,Arabic,Married,Lower,Lower middle class,Rather important,Not very important,Not at all important,Very important,Rather important,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Agree strongly,Agree,Agree strongly,Agree,Strongly disagree,Agree,Agree strongly,Don't mind,Good thing,Don't mind,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Do not trust very much,Do not trust at all,Not very much,A great deal,Quite a lot,Quite a lot,None at all,Not very much,None at all,Not very much,None at all,None at all,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,3,3,8,9,9,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,8,8,3,3,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very good,Fairly bad,Very bad,Fairly good,8,3,9,9,8,8,4,3,3,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Female,16-24,Turkmen,Married,Lower,Lower middle class,Rather important,Rather important,Very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Strongly disagree,Strongly disagree,Agree,Agree strongly,Agree strongly,Good thing,Bad thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Trust completely,Trust somewhat,Trust somewhat,Not very much,A great deal,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,Incomes should be made more equal,Private ownership of business should be increased,People should take more responsibility to provide for themselves,9,Hard work doesn't generally bring success - it's more a matter of luck and connections,Protecting environment,No,A high level of economic growth,Maintaining order in the nation,Completely agree,8,Completely disagree,7,Never justifiable,Never justifiable,5,Never justifiable,No answer,Never justifiable,Never justifiable,5,Never justifiable,Fairly Bad,Very bad,Fairly bad,Very bad,8,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,7,Not at all democratic,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,55-64,Arabic,Married,Middle,Lower middle class,Very important,Very important,Not very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust somewhat,Do not trust very much,Do not trust very much,Do not trust very much,Not very much,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,A great deal,None at all,None at all,Not very much,A great deal,A great deal,A great deal,A great deal,A great deal,4,Private ownership of business should be increased,8,Competition is harmful,"In the long run, hard work usually brings a better life",Protecting environment,Yes,Making sure this country has strong defence forces,Giving people more say in important government decisions,9,7,7,9,4,5,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very bad,Very good,Fairly bad,Very good,Not an essential characteristic of democracy,Not an essential characteristic of democracy,Not an essential characteristic of democracy,3,Not an essential characteristic of democracy,8,9,6,6,Not much respect,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,16-24,Arabic,Single,Lower,Lower middle class,Very important,Not very important,Not very important,Very important,Very important,Mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust at all,Trust somewhat,Do not trust at all,Not very much,A great deal,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,5,4,5,5,5,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,6,5,5,5,5,5,5,5,No answer,5,5,5,5,Very good,Very good,Very good,Very good,6,5,5,5,5,5,5,5,5,No respect at all,Not very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,25-34,Arabic,Married,Lower,Lower middle class,Very important,Very important,Not very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Don't mind,Good thing,Trust completely,Trust completely,Trust completely,Do not trust very much,Do not trust very much,Do not trust very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,None at all,Quite a lot,Quite a lot,Quite a lot,None at all,5,5,5,4,5,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,6,5,5,5,6,5,5,5,No answer,5,5,5,5,Very good,Very good,Very good,Fairly bad,6,5,5,5,5,5,5,5,6,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,25-34,Arabic,Married,Lower,Working class,Rather important,Not very important,Not at all important,Very important,Not very important,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Strongly disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Trust somewhat,Do not trust very much,None at all,Quite a lot,Not very much,Quite a lot,None at all,Not very much,None at all,Not very much,None at all,None at all,None at all,None at all,Not very much,None at all,Not very much,A great deal,3,2,9,8,8,Protecting environment,No,Trying to make our cities and countryside more beautiful,Maintaining order in the nation,9,9,9,9,3,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Fairly Bad,Very good,Very good,Fairly bad,8,3,8,8,8,8,8,9,2,No respect at all,Not very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,16-24,Arabic,Single,Middle,Working class,Not very important,Rather important,Rather important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Agree,Agree strongly,Agree,Agree,Agree strongly,Bad thing,Good thing,Don't mind,Trust completely,Trust completely,Trust completely,Do not trust at all,Trust somewhat,Trust somewhat,Not very much,Quite a lot,Not very much,None at all,None at all,Quite a lot,Quite a lot,None at all,None at all,None at all,None at all,None at all,None at all,Quite a lot,Quite a lot,None at all,4,Private ownership of business should be increased,The government should take more responsibility to ensure that everyone is provided for,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,9,9,9,A lot better off,2,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Fairly good,Fairly good,Very bad,Fairly bad,9,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,5,Absolutely important,6,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,25-34,Kurdish; Yezidi,Single,Lower,Upper class,Rather important,Very important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Do not trust at all,A great deal,None at all,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,None at all,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Incomes should be made more equal,6,The government should take more responsibility to ensure that everyone is provided for,Competition is good,"In the long run, hard work usually brings a better life",Protecting environment,No,A high level of economic growth,Maintaining order in the nation,Completely agree,Completely agree,Completely agree,9,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very bad,Very bad,Very bad,Very bad,Not an essential characteristic of democracy,Not an essential characteristic of democracy,Not an essential characteristic of democracy,Not an essential characteristic of democracy,7,6,Not an essential characteristic of democracy,9,Not at all democratic,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Female,25-34,Arabic,Married,Middle,Working class,Rather important,Not very important,Not at all important,Rather important,Not very important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree,Strongly disagree,Agree strongly,Agree,Agree strongly,Agree,Bad thing,Good thing,Don't mind,Trust completely,Trust somewhat,Trust somewhat,Do not trust at all,Do not trust very much,Do not trust very much,Not very much,Quite a lot,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,None at all,None at all,Not very much,Not very much,Not very much,None at all,Not very much,Not very much,8,8,8,8,3,Economy growth and creating jobs,Yes,A high level of economic growth,Maintaining order in the nation,9,9,6,8,4,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Fairly Bad,Fairly good,Very bad,Fairly good,8,2,8,8,3,8,8,9,3,Not much respect,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Female,25-34,Arabic,Married,Higher,Lower middle class,Very important,Very important,Not very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree,Agree strongly,Good thing,Don't mind,Good thing,Trust completely,Do not trust at all,Do not trust at all,Do not trust at all,Do not trust at all,Do not trust at all,Not very much,A great deal,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,5,5,5,5,5,Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,5,5,5,5,6,4,5,5,No answer,5,5,5,5,Very good,Fairly good,Very good,Very good,6,5,6,5,6,6,6,5,5,No respect at all,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Female,55-64,Turkmen,Married,Lower,Upper middle class,Very important,Very important,Not at all important,Very important,Very important,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,None at all,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,9,Private ownership of business should be increased,The government should take more responsibility to ensure that everyone is provided for,Competition is good,"In the long run, hard work usually brings a better life",Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,Completely disagree,8,5,A lot worse off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very bad,Very bad,Very bad,Very bad,Not an essential characteristic of democracy,7,6,7,5,6,Not an essential characteristic of democracy,6,Not at all democratic,Not much respect,Very proud
2018,Iraq,IQ-KI Kirkuk,Urban,Male,16-24,Arabic,Married,Middle,Lower middle class,Very important,Rather important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Do not trust at all,Do not trust at all,Trust completely,None at all,Quite a lot,None at all,None at all,None at all,Quite a lot,Quite a lot,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,Incomes should be made more equal,Private ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,Completely agree,Completely agree,Completely agree,A lot worse off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Fairly good,Fairly good,Very bad,Very bad,8,8,An essential characteristic of democracy,An essential characteristic of democracy,8,9,Not an essential characteristic of democracy,Not at all important,Not at all democratic,No respect at all,Very proud
